"County 
(by population size) ",Type of Law,"Population
(2023)",Area,City,"Report Category 
(type of incident reported)","Notes 
(explanation of ordinances with dates on when proposed/created/enforced)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Calimesa ,Proposed Ordinance,"Two proposed ordinances related to homelessness in November 2024 city council meeting agenda. Agenda explicitly references Grants Pass decision as motivation to prepare ordinances ""specifically related to homelessness."" One prohibits unlawful camping/using camp paraphernalia on public property, obstructing right of ways, sitting and lying on public benches, & public urination/defecation; the other declares shopping cart use for personal belongings a public nuisance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cathedral City ,Past Ordinance,Prohibits sleeping vehicles parked in public places. Adopted in 1982.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Coachella ,Past Ordinance,"Prohibits camping/using camp paraphernalia and storing personal property in public. ""Camp paraphernalia"" includes sleeping bags. Adopted 2/10/2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Corona ,Past Ordinance,"Camping and storage of personal property prohibited on public property. (`78 Code, § 9.26.020.) (Ord. 3160 § 4, 2013; Ord. 2833 § 3 (part), 2006; Ord. 2619 § 1, 2002: Ord. 2256 § 1, 1995.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Desert Hot Springs ,Past Ordinance,"Unlawful to camp or use camp paraphernalia (including sleeping bags) on any street, public parking lot, or private property, and to store personal property in any park, street, public property, or private property without owner/tenant consent. Adopted 12/3/2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Eastvale ,Past Ordinance,"Prohibits camping/using camp paraphernalia and storing personal property in public. ""Camp paraphernalia"" includes sleeping bags and bed rolls. Adopted 9/5/2024 (post-Grants Pass)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hemet ,Past Ordinance,"Under ""disorderly conduct,"" prohibits obstructing public property by sitting/lying/storing personal property (adopted 1/11/2022), eating/resting as well as sleeping in a vehicle (adopted 7/8/2003), and camping on private property (adopted 1/11/2022)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Indian Wells ,Past Ordinance,"Prohibits camping/using camp paraphernalia and storing personal property in public. ""Camp paraphernalia"" includes sleeping bags and bed rolls. Adopted 2012.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Indo ,Past Ordinance,"Prohibits camping and storing personal property in public spaces. Camping explicitly includes sleeping ""for living accommodation purposes"" and occurs whether or not a full night is spent. Amended 8/21/2024 (post-Grants Pass). Staff report discussing amendment references Grants Pass decision as motivation for amendment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jurupa Valley ,Past Ordinance,"Prohibits camping/using camp paraphernalia and storing personal property in public. ""Camp paraphernalia"" includes sleeping bags and bed rolls. Adopted 9/5/2024 (post-Grants Pass). Exception for ""emergency public health and safety activities.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,La Quinta ,Past Ordinance,"Camping/remaining overnight prohibited in public parks and recreation areas. One of many provisions under ""prohibited conduct"" in parks/rec section. No specific language appearing to target homeless population. (Ord. 568 § 8, 2018; Ord. 510 § 1, 2013; Ord. 360 § 1, 2001; Ord. 10 § 1, 1982)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lake Elsinore ,Past Ordinance,"No comprehensive unlawful camping ordinance, but three separate ordinances that are relevant. One prohibits camping on private property without owner's consent (adopted 2015), one prohibits camping on public parks and beaches (adopted 2016), and one declares shopping carts a public nuisance (adopted 2016). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Menifee ,Past Ordinance,"Prohibits camping/using camp paraphernalia and storing personal property in public. ""Camp paraphernalia"" includes sleeping bags and bed rolls. Sets out procedure to refer homeless people sitting/lying/sleeping on public property when no shelter is available to ""Outreach & Engagement Personnel"" before arresting or citing them. BUT states that ""These procedures under § 11.21.030(B)(2) are only mandatory during the timeframe that the case of Martin v. City of Boise 902 F.3d 1031 (9th Cir. 2018) is applicable law within the jurisdiction of the Ninth Circuit."" Adopted 10/20/2021.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Moreno Valley ,Past Ordinance,"Prohibits camping/using camp paraphernalia and storing personal property on public streets, sidewalks, right-of-ways, parks, and any other improved or unimproved public land. ""Camp paraphernalia"" includes sleeping bags and bed rolls. Adopted 2004.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Norco ,Past Ordinance,"""Camp space and squatter camps"" ordinance prohibitng camping on public/private property unless a number of sanitation requirements are met. Camping defined differently than in many other codes: ""'Camp space' is any place where one or more tents are erected or maintained for hire for living or sleeping quarters for one or more families, or where one or more tents or camp cars or trailers or where one or more families are camping with the expressed consent of the owner or person legally in charge of the land upon which such camp space is located."" Adopted 1964. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Palm Desert ,Past Ordinance,"Prohibits camping/using camp paraphernalia and storing personal property in public. ""Camp paraphernalia"" includes sleeping bags and bed rolls. Adopted 2009.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Palm Springs ,Past Ordinance,"Explicitly bans encampments & lays out specific procedures for clearing them. Explicitly bans encampments regardless of shelter bed availability in a number of situations, including ""unreasonable risk to harm or public safety,"" when there is a ""Disruption to any business, store, religious institution, educational facility, or government services,"" and ""in any open space, waterway, or banks of a waterway."" Probably the most comprehensive and strict anti-homeless law I've encountered. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Perris ,Past Ordinance,"Two provisions under general sections that may or may not target homeless populations. Under use of public property: Unlawful to ""camp, lodge or tarry overnight"" on any public property. Terms not defined. Adopted 1970. Under use of park and recreation facilities: ""No person shall tent, camp, lodge, or otherwise be present in any park or recreation facility after 11:00 p.m. or before 6:00 a.m."" Adopted 1992.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Rancho Mirage ,Past Ordinance,"Prohibits camping/using camp paraphernalia and storing personal property in public. ""Camp paraphernalia"" includes sleeping bags. Enforcement: public nuisance (not infraction/misdemeanor). Adopted 2019. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Riverside ,Past Ordinance,"One ordinance prohibits camping/using camp paraphernalia in public spaces. ""Camp paraphernalia"" includes sleeping bags. Enforcement: public nuisance (not infraction/misdemeanor). Adopted 2022. Another prohibits sitting/lying on sidewalks, lying on public benches, and distributing food to large groups of people w/o permit. Adopted 2021.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Temecula ,Past Ordinance,Prohibits camping/using camp paraphernalia (including bed rolls and sleeping bags) in public spaces. Also prohibits lying on public benches.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Wildomar ,Past Ordinance,"Prohibits camping without a permit, although doesn't seem to target the homeless population. Also prohibits storing personal property in public spaces. Adopted 2018.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino County,Charter,"2,195,611","20,062 sq mi
(51,960 km2)",Adelanto ,Past Ordinance,Prohibits sitting or lying on public ways,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Apple Valley ,Past Ordinance,"Prohibits sitting or lying on public ways / camping and sleeping outdoors or in a vehicle, or park a recreational vehicle overnight in a public location. Adopted 2005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Barstow ,Past Ordinance,"Prohibits sitting or lying on public ways, adopted 1987 / prohibited camping in public park, Adpoted 2008-2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Big Bear Lake ,Past Ordinance,"Prohibited caamping and loitering, storage personal property, adopted in 2019. Penalty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Chino Hills ,Past Ordinance,Prohibits camping in city owned space / Enforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Chino Hills ,Past Ordinance,[Chino] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Colton ,Past Ordinance,Prohibits camping or store personal property on public property / Enforcement. Adopted in 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Fontana ,Past Ordinance,"Prohibits lingering, loitering, sitting, or standing on commercial or private property(Ch 12.26.)
Prohibits standing or sitting in roadway(Sec 17-228)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Grand Terrace ,Past Ordinance,Prohibits loitering. adopted 1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hesperia ,,no ordinances re camping/loitering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Highland ,,no ordinances re camping/loitering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Loma Linda ,,no ordinances re camping/loitering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Montclair ,,no ordinances re camping/loitering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Needles ,,no ordinances re camping/loitering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ontario ,Past Ordinance,"Prohibited camping in park, street, public parking area. Adopted 1995 and amended 2010
Prohibited storing personal property. Adopted 1995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Rancho Cucamonga ,Past Ordinance,Prohibited loitering in designated public places or in front of buildings. Adopted in 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Redlands ,Past Ordinance,Prohibited camping and storage of personal property in public places. Enforcement. Adopted in 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Rialto ,,no ordinances re camping/loitering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,San Bernardino ,Past Ordinance,Prohibited camping and storing personal property in public places. Adopted 1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Twenynine Palms ,,no ordinances re camping/loitering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Upland ,Past Ordinance,Prohibits camping or store personal property on public property / Enforcement. Adopted in 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Victorville ,Past Ordinance,Prohibits camping or store personal property on public property / Penalties. Adopted in 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Yucaipa ,Past Ordinance,Prohibits camping or store personal property on public property / Enforcement. Adopted in 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Yucca Valley ,Past Ordinance,camping in vehicle prohibited. Adopted in 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara County,Charter,"1,877,592","1,291 sq mi
(3,344 km2)",Santa Clara,Proposed Ordinance,"""Good Neighbor Program"": The ordinance would prohibit camping within Water Resources Protection Zones, which include all lands where Valley Water owns property or has easements. Violations could result in fines of up to $500 and jail time of up to 30 days.

The ordinance would ban:
1. Unauthorized establishment of encampments
2. Any unauthorized presence in established zones after sunset
3. Depositing trash, debris, or hazardous pollutants related to encampments
4. Keeping animals in established zones
5. Activities that disturb neighboring properties or create hazards for Valley Water employees or the public",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,San José,Proposed Ordinance,"The city of San José has adopted new restrictions on encampments near schools:

1. The city council unanimously voted to ban all homeless encampments within 150 feet of K-12 schools citywide by establishing ""School Clearance Zones"".
2. This rule formalizes and slightly expands on a similar policy the city already had in place
3. Violators would be given a $0 administrative citation, with no criminal enforcement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,San José,Proposed Ordinance,"San José has also implemented tougher rules on RV parking:

1. The city can now tow large vehicles in areas where parked cars create safety hazards for drivers, pedestrians, and cyclists.
2. This policy is particularly focused on areas near schools",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alameda County,Charter,"1,622,188","738 sq mi
(1,911 km2)",Albany,Past Ordinance,"Section 8-4.4 of the municipal code addresses camping specifically:
   
1. It states that “it is unlawful for any person to engage in camping in any City-owned property”
2. Where camping means “to set up, pitch, occupy, or leave camp facilities or use camp paraphernalia” (§8-4.2)
3. HOWEVER, it “will not be enforced against indigent homeless persons sitting, lying, or sleeping on City-owned public property” with some exceptions
4. This section of the municipal code appears to have been last amended on June 7, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Berkeley,"Past Ordinance, Anecdote/Interview","On Sept. 10, 2024, City Council approved legislation that broadened the city’s authority to sweep camps even when shelter isn’t available. 

1. The resolution said that the city wouldn’t sweep encampments unless it was able to offer shelter to displaced people, but it also outlined several exceptions including encampments that posed a health or safety hazard.
2. Also on Sept. 10, 2024, nine business and property owners sued the city over a longstanding homeless encampment, citing public and private nuisances.
3. On Jan. 7, 2025, the city posted notice that officials had found such nuisance conditions at a longstanding encampment and directed everyone living there leave by Feb. 10 or the city would remove all property remaining on the property.
4. On Feb. 13, the Berkeley Homeless Union sued the city to enjoin Berkeley to sweep the encampment.
5. As of Feb. 14, a federal judge has temporarily blocked Berkeley from clearing the encampment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Dublin,Past Ordinance,"Section 5.100.110 identifies pohibited acts/activities in parks. It states that ""unless expressly authorized by the Director, no person while in any park shall: . . . E. Camp, lodge or remain overnight . . .""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Emeryville,,Emeryville does not appear to have an ordinance specifically addressing to camping.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Fremont,Past Ordinance,"In February 2025, Fremont City Council gave final approval to an ordinance that bans camping throughout the entire city, while also making anyone ""aiding, abetting or concelaing"" a homeless encampment guilty of a misdemeanor. On March 4, they voted to remove the aiding and abetting clause after pushback from the community.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hayward,Past Ordinance,"Article 17 of Hayward's municipal code addresses camping and storage of personal property:

1. It’s unlawful to camp, occupy camp facilities or use camp paraphernalia on any City-owned property. (Section 4-17.20)
2. It’s unlawful to store personal property, including camp facilities and camp paraphernalia on any City-owned property. (Section 4-17.25)
3. A violation is declared a public nuisance which may be enjoined by civil action or enforced with citations. (Section 4-17.30)
4. “Camp” means to pitch or occupy camp facilities; to use camp paraphernalia. (Section 4-17.10)
5. Appears to have been last updated in 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Livermore,Past Ordinance,"Chapter 12.65 of the municipal code addresses camping. In livermore it's unlawful and a public nuisance to camp, establish/maintain/operate/occupy camping facilities, or use camp paraphernalia on any public property or any private proeprty where the public has right of access. It's simiarly unlawful to store camp paraphernalia on public property. aA violation is punishable by a fine up to $100 for a first offense, and as a misdemeanor punishable by a fine up to $300 or  up to 30 days in jail or both.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Newark,Past Ordinance,"Section 7.04.030 talks about how unoccupied swellings are attractive for ""unlawful camping and occuptation"" but doesn't seem to clearly discuss unlawfulcamping elsewhere in the municipal code.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Oakland (county seat),"Anecdote/Interview, Past Ordinance","On Sept. 24, 2024, Oakland’s mayor gave an executive order to city departments to fully remove people living in homeless encampments, enforcing the Encampment Management Policy. The EMP was passed in 2020, prohibiting encampment within a certain number of feet of schools, parks, playgrounds, bodies of water and retail businesses. It also prohibits most of the cooking and heating equiment used by peope living in encampemnts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Piedmont,Past Ordinance,"Piedmont doesn't appear to have any ordinances specifically addressing camping or homelessness, aside from generally prohibiting obstructions of streets and sidewalks (Chapter 18, Article IV, Section 18.22)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Pleasanton,Past Ordinance,"(A) No person shall camp or lodge in a tent or on the ground in any park and recreation favility, including the parking lot area of any such facility. 
(B) Except during daylight, or except for security purposes and with the written permission of the director, no person shall stay, remain or sleep in a motor home or other motor vehicle otherwise, in any park and recreation facility, including the parking lot area of such facility. 
(Section 13.08.120 Camping–Sleeping, Ord. 1428 Section 4, 1989)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,San Leandro,Past Ordinance,It is unlawful to camp overnight or to park a trailer coach overnight upon any public street or other public place. (Section 3-10-925),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Union City,Anecdote/Interview,"Union City doesn't seem to have an ordinance against camping, and the city's FAQ page still states that cities can't crminalize sleeping on public property when no alternative space is avaialble under federal law, meaning people experiencing homelessness may not be arrested for camping on public property unless unrestricted shelter is availabe.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento,Charter,"1,584,288","966 sq mi 
(2,502 km2)",Sacramento,Proposed Ordinance,"Amendment of Chapter 9.120 to Title 9 of the Sacramento County Code; The critical infrastructure ordinance adds Chapter 9.120 to the Sacramento County Code to prohibit camping and encampments in the following priority areas: 

1. In, on or within 25 feet of ""critical infrastructure"" or the entrance/exit of ""critical infrastructure;""
2. Up to 1,000 feet of a location providing year-round overnight shelter to people experiencing homelessness and the entrance/exit to such locations; 
3. Inside of, or within 30 feet of wildfire and flood risk areas during severe weather; 
4. and Within 25 feet of a youth-serving facility, defined as public or private primary or secondary schools and public libraries. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Rancho Cordova,Proposed Ordinance,"The Rancho Cordova City Council unanimously approved a new camping ordinance on Sept. 16, 2024 aimed at updating the city’s approach to managing illegal camping in public spaces.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Folsom,Proposed Ordinance,"The Folsom Police Department started its homeless outreach team (HOT), which will ban unlawful camping on public property, authorities said. Planning to enforce the unlawful camping ordinance, outlined in the Folsom Municipal Code (Chapter 9.100 CAMPING).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Elk Grove,Proposed Ordinance,"Ordinance No. 12-2024: an ordinance of the city council of the city of Elk Grove amending chapter 9.38 of the Elk Grove Municipal Code related to unlawful camping. Elk Grove City Council unanimously passed an amendment to a city ordinance Wednesday that shortens the window of notice city officials must give to those at homeless encampments, or unlawfully camping in the city, to 24 hours before temporarily seizing their property. The previous notice was a 72-hour window. The amendment, the city said, will allow them to respond quicker to camp clean-ups. 

Elk Grove will also prohibit the following: “sleeping on public sidewalks, streets, or alleyways; sleeping in any pedestrian or vehicular entrance to public or private property abutting a public sidewalk; occupying a campsite upon any sidewalk, street, alley, lane, public right of way, park, bench, or any other public property and/or under any bridge; and camping on private property without the consent of the property owner.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contra Costa County,General Law,"1,155,025","720 sq mi
(1,865 km2)",Antioch,"Past Ordinance, Proposed Ordinance","Antioch has a strict anti-camping provision on the books, and the mayor announced plans to strengthen it. Antioch, Cal., Mun. Code § 10-2.12 (1996). As far as I can tell, the ordinance hasn't been changed, but it might be enforced more strictly now. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Brentwood,Anecdote/Interview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresno County,Charter,"1,017,162","5,963 sq mi
(15,444 km2)",Fresno,Past Ordinance,"Fresno County (in its entirety) will be one of the first local jurisdictions in the country to implement anti-encampment ordinances. 

1. On Aug. 20, 2024 the Fresno County Board of Supervisors passed an anti-encampment ordinance, with enforcement set to begin within the next month. 
2. Ordinance violators expect to face criminal penalties including fines and jail time.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Clovis,Past Ordinance,"1. Sleeping and camping in public and certain private places is prohibited.
2. Camping includes use of tents/temporary shelters, use of sleeping bags/beds/hammocks, use of park benches/similar structures, and use of any parked vehicles.
3. It’s not a violation to sleep in a public park between 7am-10pm, or from 10pm-7am in a designated overnight camp area.
4. It is not considered recreational camping when a camp is established with the intent to lodge or reside at that location, remain in that location or park overnight, or remain for a period of more than one consecutive day.
5. In addition to any other remedy or enforcement mechanism, any camp in violation of this section is declared to be a public nuisance, and the Chief of Police or his/her designee is authorized to remove the camp after giving the occupant the opportunity to remove the camp.
(Section 5.27.510 Camping)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Sanger,Past Ordinance,"1. No person shall camp, lodge, sleep or tarry overnight in any park or recreation area without written permission from the director.
2. No person shall set up tents, shacks, or any other temporary shelter for the purpose of camping in any park or recreational area without written permission of the director.
3. No person shall leave in a park or recreation area any moveable structure or special vehicle to be used or that could be used for camping, such as a house trailer, camp trailer, motor home, or the like, without written permission from the director.
(Section 42-15 Overnight Camping)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Reedley,Past Ordinance,"It shall be unlawful for any person to camp within any park or recreation area without having first secured a written permit from the City and paid the applicable fee therefor to the City, and no person shall camp outside of a camp site or site designated in such permit. (Section 7-3-5 Camping; Ord. 2018-004, 8-28-2018)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Selma,Past Ordinance,"In Oct. 2024, Selma City Council approved an ordinance that prohibits sitting, lying, sleeping or camping in a public place, including but not limited to sidewalks, street alleys, sensitive areas or within doorways. It went into effect in November but is not reflected in the online municipal code.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Parlier,Past Ordinance,"Sleeping and camping in public and certain private places prohibited
“Camp” means an outdoor place for eating, cooking or sleeping.
It is not considered a violation to sleep in any public park between 7am-10pm.
(Section 6.11.510 Camping)
Note: this ordinance seems very similar to Clovis'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kerman,,Kerman doesn't appear to have an anti-camping/anti-homeless ordinance ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Coalinga,Past Ordinance,"Sec. 10-1.12. - Overnight camping.
(a)No person shall camp, lodge, sleep or tarry overnight in any park or recreation area.(b)No person shall set up tents, shacks, or any other temporary shelter for the purpose of camping in any park or recreational area.(c)No person shall leave in a park or recreation area any moveable structure or special vehicle to be used or that could be used for camping, such as a house trailer, camp trailer, motor home, or the like
(Ord. No. 793, § 1, eff. 11-5-2016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kingsburg,Past Ordinance,"As of Nov. 6, 2024, Kingsburg adopted an ordinance making it unlawful to camp on public and private property and obstruct public rights of way.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Mendota,Past Ordinance,"12.12.020 - Prohibited act—Camping or occupation of temporary structure.
It is unlawful for any person to camp or live on any lot or area of land within the city other than in a permanently constructed building with toilet and other facilities required by this code. This provision is intended to prevent persons from sleeping or camping, whether in tents or otherwise, in or upon open areas, such as yards and lots, whether public or private, in the city.
(Prior code § 6.03.002)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Orange Cove,Past Ordinance,"Setting up temporary shelter for the purpose and sleeping/""protractedly lounging"" on seats/benches/tables/anywhere in a park at any time from midnight-6am are restircted activities, considered unreasonable interference that detracts from general puoblic enjoument of parks. (Chapter 12.12 Park Use Regulatinos, 12.12.030 - Restricted activities)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Firebaugh,Past Ordinance,"It shall be unlawful for any person to inhabit any trailer coach standing or parked in or upon any lot or area of land within the City of Firebaugh, or upon any street, alleyway, or place therein and it shall be unlawful for any person to inhabit any tent, hut, or motor home, or to camp on the ground within any such areas in the City of Firebaugh except in a legally constituted and licensed trailer park or camp, provided that when the city may permit it for specified occasions, camping in city parks may be allowed. Section 9-1.2; see Sections 9-1.3 and 9-1.3 for violations and penalties.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Huron,Past Ordinance,"9.12.130 - Tents prohibited.        
No tents may be erected or occupied in the City for the purposes of living or sleeping, except in a campground established for such purpose. All buildings used for living or sleeping purposes shall be erected in accordance with the City Building Code and the State Housing Act.
(Ord. 220 § 1, 1986)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
